Date,Year,Quarter,Total,Less than 3 months,3-6 months,6-12 months,12 months+
2016-10-01,2016,4,21441,6984,5686,3989,4782
2017-01-01,2017,1,20385,6105,5605,3526,5149
2017-04-01,2017,2,20793,5762,5014,3930,6087
2017-07-01,2017,3,21327,6157,4641,3559,6970
2017-10-01,2017,4,22036,6959,4773,3067,7237
2018-01-01,2018,1,22043,6454,5793,3386,6410
2018-04-01,2018,2,22579,6300,5590,4414,6275
2018-07-01,2018,3,24061,7232,5341,4740,6748
2018-10-01,2018,4,27018,8422,6488,4413,7695
2019-01-01,2019,1,30019,8678,7353,6443,7545
2019-04-01,2019,2,31887,7336,7544,9355,7652
2019-07-01,2019,3,35001,8745,6244,10810,9202
2019-10-01,2019,4,38860,9513,7751,10302,11294
2020-01-01,2020,1,40949,8133,8196,10917,13703
2020-04-01,2020,2,42745,4622,7588,13612,16923
2020-07-01,2020,3,48102,7909,4003,14798,21392
2020-10-01,2020,4,51981,8038,7202,10784,25957
2021-01-01,2021,1,52935,5837,7587,10418,29093
2021-04-01,2021,2,57129,8608,5738,13643,29140
2021-07-01,2021,3,68467,15242,8746,12426,32053
2021-10-01,2021,4,83535,19122,15362,13953,35098
2022-01-01,2022,1,90990,12215,19057,23435,36283
2022-04-01,2022,2,101426,15078,12301,33495,40552
