Date,Year,Quarter,Number of pregnant women detained in the immigration detention estate
2016-09-30,2016,3,12
2016-12-31,2016,4,15
2017-03-31,2017,1,12
2017-06-30,2017,2,8
2017-09-30,2017,3,20
2017-12-31,2017,4,13
2018-03-31,2018,1,12
2018-06-30,2018,2,11
2018-09-30,2018,3,8
2018-12-31,2018,4,14
2019-03-31,2019,1,8
2019-06-30,2019,2,7
2019-09-30,2019,3,5
2019-12-31,2019,4,3
2020-03-31,2020,1,5
2020-06-30,2020,2,0
2020-09-30,2020,3,2
2020-12-31,2020,4,2
2021-03-31,2021,1,3
2021-06-30,2021,2,3
2021-09-30,2021,3,0
2021-12-31,2021,4,1
2022-03-31,2022,1,1
2022-06-30,2022,2,1
2022-09-30,2022,3,2
2022-12-31,2022,4,3
2023-03-31,2023,1,1
2023-06-30,2023,2,1
