Date of return,Category,Enforced returns,Voluntary returns,Refused entry at port and subsequently departed
2010,Asylum,6771,3792,100
2010,Non-asylum,7157,27970,18346
2011,Asylum,6289,4085,115
2011,Non-asylum,8277,26003,15854
2012,Asylum,5804,3222,104
2012,Non-asylum,9330,27780,13941
2013,Asylum,6455,2473,160
2013,Non-asylum,8395,29221,14621
2014,Asylum,4866,1999,186
2014,Non-asylum,8675,25816,16373
2015,Asylum,3513,2183,167
2015,Non-asylum,9408,28027,17915
2016,Asylum,2978,2138,149
2016,Non-asylum,8925,26336,17767
2017,Asylum,3001,2148,197
2017,Non-asylum,8740,18831,18323
2018,Asylum,2122,1849,161
2018,Non-asylum,7114,13853,19494
2019,Asylum,1364,1803,165
2019,Non-asylum,5834,10771,18299
2020,Asylum,512,1053,82
2020,Non-asylum,2871,3956,10054
2021,Asylum,340,1210,56
2021,Non-asylum,2440,6123,18709
2022,Asylum,580,2150,136
2022,Non-asylum,3280,8560,23242
