Date,Year,Quarter,TD Raised,TD Despatched
2010-06-30,2010,2,6770,3768
2010-09-30,2010,3,6695,3725
2010-12-31,2010,4,6620,4048
2011-03-31,2011,1,6531,4835
2011-06-30,2011,2,6248,3579
2011-09-30,2011,3,5716,4075
2011-12-31,2011,4,5229,4302
2012-03-31,2012,1,6014,3890
2012-06-30,2012,2,5545,1335
2012-09-30,2012,3,4541,1609
2012-12-31,2012,4,4568,1305
2013-03-31,2013,1,5553,1837
2013-06-30,2013,2,6662,2021
2013-09-30,2013,3,5291,3184
2013-12-31,2013,4,5072,5770
2014-03-31,2014,1,5993,7564
2014-06-30,2014,2,6507,5504
2014-09-30,2014,3,6364,4214
2014-12-31,2014,4,6303,3865
2015-03-31,2015,1,8297,3803
2015-06-30,2015,2,9615,3531
2015-09-30,2015,3,8065,4576
2015-12-31,2015,4,7338,6133
2016-03-31,2016,1,8712,4478
2016-06-30,2016,2,8872,4543
2016-09-30,2016,3,7595,4588
2016-12-31,2016,4,7441,3772
2017-03-31,2017,1,10154,5025
2017-06-30,2017,2,9524,4983
2017-09-30,2017,3,8236,4566
2017-12-31,2017,4,9306,5101
2018-03-31,2018,1,13426,6048
2018-06-30,2018,2,13754,8697
2018-09-30,2018,3,11347,12279
2018-12-31,2018,4,11918,6640
2019-03-31,2019,1,12634,5797
2019-06-30,2019,2,11757,10206
2019-09-30,2019,3,11100,7035
2019-12-31,2019,4,12234,6362
2020-03-31,2020,1,13179,6406
2020-06-30,2020,2,3161,6893
2020-09-30,2020,3,6602,4690
2020-12-31,2020,4,8169,4799
2021-03-31,2021,1,10277,3969
2021-06-30,2021,2,9368,3814
2021-09-30,2021,3,9339,10941
2021-12-31,2021,4,10477,18209
2022-03-31,2022,1,14265,10653
2022-06-30,2022,2,16118,12934
2022-09-30,2022,3,15502,16335
2022-12-31,2022,4,13776,15572
2023-03-31,2023,1,13964,14881
